,date,ORC58,ORC62
861,20170109,554.88,672.35
862,20170110,567.95,681.9
863,20170111,568.04,682.66
864,20170112,572.1,687.29
865,20170113,572.54,687.01
866,20170116,592.48,705.79
867,20170117,587.45,697.74
868,20170118,584.0,696.43
869,20170119,584.15,696.24
870,20170120,572.37,682.78
871,20170123,571.75,682.22
872,20170124,584.33,696.88
873,20170125,581.68,693.5
874,20170126,587.99,700.54
875,20170203,570.14,680.5
876,20170206,562.99,668.77
877,20170207,571.75,681.92
878,20170208,591.56,701.44
879,20170209,594.36,706.45
880,20170210,607.78,720.28
881,20170213,636.26,751.44
882,20170214,649.28,762.24
883,20170215,641.32,754.47
884,20170216,642.15,754.99
885,20170217,643.75,756.36
886,20170220,652.69,771.01
887,20170221,663.63,783.42
888,20170222,661.79,778.12
889,20170223,652.93,769.37
890,20170224,648.55,762.83
891,20170227,657.38,770.91
892,20170228,647.83,760.26
893,20170301,648.74,759.18
894,20170302,648.2,756.96
895,20170303,640.05,746.6
896,20170306,636.4,742.38
897,20170307,631.23,735.62
898,20170308,626.84,729.4
899,20170309,618.14,722.34
900,20170310,617.39,721.09
901,20170313,621.12,730.67
902,20170314,626.23,735.18
903,20170315,642.24,750.66
904,20170316,647.35,754.15
905,20170317,642.42,749.66
906,20170320,640.73,746.25
907,20170321,621.94,729.2
908,20170322,612.25,712.79
909,20170323,608.04,715.96
910,20170324,602.07,709.4
911,20170327,585.16,687.94
912,20170328,568.56,680.22
913,20170329,571.36,681.89
914,20170330,567.46,677.26
915,20170331,562.74,672.71
916,20170405,568.24,676.25
917,20170406,565.51,673.96
918,20170407,542.75,651.79
919,20170410,525.7,636.65
920,20170411,516.97,630.31
921,20170412,503.39,614.03
922,20170413,471.84,578.97
923,20170414,470.31,577.13
924,20170417,454.62,557.74
925,20170418,423.49,524.94
926,20170419,418.15,522.07
927,20170420,422.22,527.84
928,20170421,438.77,548.56
929,20170424,441.28,548.85
930,20170425,438.59,546.44
931,20170426,438.94,547.66
932,20170427,442.42,552.15
933,20170428,448.45,560.85
934,20170502,455.85,580.43
935,20170503,454.57,571.61
936,20170504,424.44,537.61
937,20170505,402.94,505.48
938,20170508,412.3,510.87
939,20170509,406.92,508.29
940,20170510,411.93,513.49
941,20170511,405.6,501.99
942,20170512,395.59,491.67
943,20170515,405.1,494.01
944,20170516,411.67,500.62
945,20170517,417.68,515.95
946,20170518,416.93,515.48
947,20170519,421.9,520.27
948,20170522,431.1,527.3
949,20170523,426.05,521.65
950,20170524,408.95,503.31
951,20170525,402.05,494.25
952,20170526,393.73,491.37
953,20170531,377.03,473.04
954,20170601,376.83,472.07
955,20170602,381.36,472.51
956,20170605,384.16,478.54
957,20170606,378.54,473.66
958,20170607,374.21,469.7
959,20170608,368.79,465.81
960,20170609,368.56,464.88
961,20170612,372.49,469.6
962,20170613,363.16,458.8
963,20170614,367.31,462.17
964,20170615,364.67,462.1
965,20170616,366.98,463.29
966,20170619,370.64,468.81
967,20170620,371.85,469.69
968,20170621,371.11,468.63
969,20170622,371.0,470.4
970,20170623,373.59,471.75
971,20170626,377.78,474.25
972,20170627,390.22,487.33
973,20170628,399.35,496.84
974,20170629,411.96,509.13
975,20170630,412.21,511.22
976,20170703,419.48,518.72
977,20170704,410.47,510.7
978,20170705,411.95,512.33
979,20170706,410.36,509.54
980,20170707,414.78,514.72
981,20170710,423.38,523.58
982,20170711,430.37,530.01
983,20170712,434.57,533.71
984,20170713,433.75,533.11
985,20170714,428.89,527.8
986,20170717,438.74,541.04
987,20170718,451.13,556.78
988,20170719,468.63,573.29
989,20170720,468.08,570.11
990,20170721,461.47,565.43
991,20170724,456.1,561.64
992,20170725,462.52,568.61
993,20170726,468.62,573.91
994,20170727,468.57,571.76
995,20170728,473.74,575.84
996,20170731,489.36,595.19
997,20170801,500.34,611.42
998,20170802,495.47,605.36
999,20170803,498.01,608.62
1000,20170804,500.67,618.79
1001,20170807,524.12,648.4
1002,20170808,518.85,641.51
1003,20170809,521.74,643.58
1004,20170810,524.54,646.31
1005,20170811,512.0,632.15
1006,20170814,502.13,622.52
1007,20170815,501.49,617.66
1008,20170816,498.9,615.47
1009,20170817,515.59,642.83
1010,20170818,521.28,652.33
1011,20170821,534.35,663.93
1012,20170822,538.55,664.41
1013,20170823,525.36,648.65
1014,20170824,524.8,645.28
1015,20170825,527.48,647.78
1016,20170828,517.54,637.35
1017,20170829,511.24,629.02
1018,20170830,512.32,630.34
1019,20170831,519.72,643.58
1020,20170901,528.34,648.31
1021,20170904,519.98,638.63
1022,20170905,522.25,640.25
1023,20170906,511.33,629.38
1024,20170907,502.63,621.91
1025,20170908,495.39,614.05
1026,20170911,491.66,612.04
1027,20170912,502.15,621.23
1028,20170913,494.39,614.42
1029,20170914,483.17,603.86
1030,20170918,469.86,590.56
1031,20170919,468.98,589.82
1032,20170920,462.17,585.3
1033,20170921,451.01,570.52
1034,20170922,438.48,558.6
1035,20170925,425.68,546.99
1036,20170926,425.21,547.24
1037,20170927,426.16,547.99
1038,20170928,413.82,534.53
1039,20170929,414.05,533.37
