date,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20070516,,1035.907572,,,,,,1058.39718,906.7548321,,,1048.807409,,,,1000.594724,1015.494873,,,902.2929557,1116.7906,,,,,,,,1084.619476,1075.405062
20070517,,1028.57198,,,,,,1006.352392,917.2321801,,,1037.358325,,,,997.4178349,1011.667576,,,895.4256359,1070.205797,,,,,,,,1084.057375,1062.492631
20070518,,1037.435188,,,,,,960.8131553,914.4460777,,,1037.629418,,,,998.9481703,1015.550721,,,894.8056704,1029.137113,,,,,,,,1094.759109,1074.328577
20070521,,1039.830861,,,,,,1009.009121,926.5631129,,,1049.493163,,,,999.7193085,1019.095072,,,893.5918612,1076.350247,,,,,,,,1097.753197,1113.761418
20070522,,1040.710095,,,,,,1005.736087,934.7106518,,,1043.835796,,,,995.6218445,1019.821748,,,903.1123009,1084.214972,,,,,,,,1092.114658,1114.017847
20070523,,1038.472237,,,,,,976.9431829,930.002146,,,1040.516107,,,,994.7776614,1020.985833,,,899.8769689,1057.247305,,,,,,,,1090.645622,1106.189235
20070524,,1046.277416,,,,,,997.6939311,921.071189,,,1042.552202,,,,993.4619534,1028.376275,,,900.0517281,1072.652071,,,,,,,,1106.092614,1104.063162
20070525,,1048.0668,,,,,,970.6263763,925.1261497,,,1036.225001,,,,994.3299038,1020.54264,,,899.1860836,1044.858181,,,,,,,,1137.911859,1090.394448
20070528,,1048.326072,,,,,,999.1941975,932.7129443,,,1041.904935,,,,994.2583596,1023.347512,,,912.9254687,1074.780574,,,,,,,,1167.727661,1069.346925
20070529,,1042.045352,,,,,,1003.088647,935.1113062,,,1035.49407,,,,986.2342756,1005.33975,,,911.6861174,1060.047336,,,,,,,,1157.04731,1038.668077
20070530,,1038.303514,,,,,,992.4779935,935.9227762,,,1032.679369,,,,980.7398214,986.4426531,,,902.0271934,1055.978082,,,,,,,,1122.576551,1041.498784
20070531,,1036.673558,,,,,,1020.71535,933.6339361,,,1041.991729,,,,989.1597504,995.26349,,,909.0074387,1076.25278,,,,,,,,1154.890506,1044.906957
20070601,,1020.794626,,,,,,1035.356075,934.1354129,,,1039.813259,,,,988.5611125,996.0116259,,,911.2703505,1075.193902,,,,,,,,1150.471297,1041.733533
20070604,,1009.951041,,,,,,1022.778557,931.5159967,,,1036.021675,,,,987.5456303,1006.688904,,,912.3752655,1059.249435,,,,,,,,1149.226253,1050.928276
20070605,,1014.024945,,,,,,1054.085286,929.1209599,,,1042.710534,,,,989.4589958,1007.464043,,,909.0631852,1074.729632,,,,,,,,1171.690196,1072.889551
20070606,,1013.849098,,,,,,1048.273778,934.8657079,,,1042.007673,,,,988.5586177,1000.391974,,,907.8477936,1066.882757,,,,,,,,1181.629264,1067.110023
20070607,,999.5973308,,,,,,1026.32226,937.2785791,,,1041.748346,,,,986.6072465,998.4815232,,,905.2136552,1049.759722,,,,,,,,1177.679324,1032.790028
20070608,,991.5886673,,,,,,1007.620599,946.292745,,,1040.559582,,,1022.098051,977.9081773,983.9713123,,,897.3078566,1042.226623,,,,,,,,1168.64891,1022.020469
20070611,,996.4285457,,,,,,994.439565,948.3504289,,,1040.796486,,,1003.298081,975.4143179,995.1742099,,,901.0005227,1053.330854,,,,,,,,1164.081002,1014.926356
20070612,,993.2892005,,,,,,986.0786814,950.6661917,,,1038.804615,,,990.4483997,966.2852814,988.311536,,,901.5245544,1042.965593,,,,,,,,1139.781919,995.7493553
20070613,,993.4499893,,,,,,984.6332501,946.0114194,,,1039.108889,,,971.6010884,963.7656901,970.6112852,,,894.3367004,1043.107346,,,,,,,,1120.6628,994.442239
20070614,,992.439861,,,,,,993.2634544,951.6492874,,,1020.075971,,,979.0631813,966.3850278,973.5918418,,,881.7299851,1035.822082,,,,,,,,1128.795715,993.363477
20070615,,999.3383057,,,,,,989.788488,956.135953,,,1026.146945,,,984.2788044,960.17141,970.2802272,,,879.0473683,1006.260093,,,,,,,,1137.896195,982.0278583
20070618,,1003.75031,,,,,,1019.118321,964.3647524,,,1026.854658,,,999.7223766,950.744362,994.6475962,,,887.8744054,1020.794231,,,,,,,,1160.218799,1001.404523
20070619,,1003.549847,,,,,,1005.703292,966.2463248,,,1025.396861,,,989.0678639,936.8082402,987.0190975,,,890.4725729,1001.970705,,,,,,,,1146.223517,1008.560161
20070620,,993.0143426,,,,,,1010.798599,960.5577512,,,1024.930936,,,982.4129177,939.699707,977.4815391,,,886.2734389,1007.183599,,,,,,,,1138.527317,986.2224814
20070621,,993.7843972,,,,,,1011.789198,970.2009468,,,1024.227747,,,981.9721037,943.5388397,981.1833009,,,888.2821541,1004.039475,,,,,,,,1136.229355,988.8406008
20070622,,986.7908066,,,,,,1002.892374,965.6598053,,,1026.264394,,,979.195131,939.1439677,967.4556428,,,902.8510636,980.5998607,,,,,,,,1126.429345,988.5557578
20070625,,980.5002101,,,,,,985.0909739,953.540357,,,1023.172064,,,980.8585485,935.553606,964.1451636,,,897.7610909,943.5818149,,,,,,,,1137.213631,989.1253303
20070626,,981.9560613,,,,,,978.9097812,957.5394104,,,1019.113508,,,975.0386312,920.3989887,948.7244969,,,890.7559258,922.5524025,,,,,,,,1125.642535,983.6164536
20070627,,974.4135711,,,,,,945.052492,962.112512,,,1012.531076,,,962.5762759,908.8966659,954.2291433,,,889.4064448,891.8312876,,,,,,,,1124.791725,946.2587737
20070628,,965.0463242,,,,,,977.6735004,956.5751687,,,1015.123526,,,967.3847562,911.2835075,953.5590491,,,884.5208692,924.7113888,,,,,,,,1134.783915,941.0852134
20070629,,964.2890217,,,,,,1000.035129,954.0640304,,,1018.967371,,,980.9199212,910.9473645,957.5130828,,,871.2077162,930.0413868,,,,,,,,1144.526212,943.143148
20070702,,969.1865607,,,,,,1003.460447,959.8563326,,,1020.899439,,,1002.838263,910.8639297,992.9323486,,,873.6233597,926.3155602,,,,,,,,1173.710057,941.5116195
20070703,,976.7517837,,,,,,1037.927359,962.92936,,,1028.93878,,,997.7560315,910.8818577,980.1806321,,,875.1257074,958.4909565,,,,,,,,1173.890953,958.0427907
20070704,,977.8982373,,,,,,1025.146522,963.7998178,,,1022.359763,,,1001.784037,897.3887165,973.2805424,,,870.3347216,929.2721291,,,,,,,,1180.855044,949.4150537
20070705,,975.6122817,,,,,,1032.886234,967.1164091,,,1026.775906,,,1000.396089,892.1730311,974.7596983,,,872.8884309,929.9921525,,,,,,,,1176.027336,961.7300099
20070706,,977.4183456,,,,,,1020.6884,985.215982,,,1030.619548,,,1009.550538,896.6248593,976.5754543,,,871.5444786,915.8668906,,,,,,,,1189.290996,935.005544
20070709,,983.6588233,,,,,,1040.530318,997.3015505,,,1043.386951,,,1006.194681,888.5607874,954.7747089,,,869.5741831,939.0787873,,,,,,,,1186.098747,952.0983944
20070710,,977.4291646,,,,,,1036.744593,992.0502694,,,1035.167636,,,1000.202797,873.2894291,952.3051862,,,870.7430285,925.1977773,,,,,,,,1179.429373,947.8482883
20070711,,984.5251152,,,,,,1013.778524,994.8656247,,,1037.092006,,,1010.305187,869.7592714,975.5686087,,,857.1835154,918.4343445,,,,,,,,1204.858403,948.892448
20070712,,987.6848243,,,,,,1022.872212,995.6423696,,,1039.195619,,,1017.347843,872.4713185,999.7852723,,,853.418735,937.7908464,,,,,,,,1214.04391,952.3148567
20070713,,991.1762663,,,,,,1006.906132,996.3150469,,,1036.294019,,,1015.127768,871.0153859,999.9803604,,,855.9611136,947.1731132,,,,,,,,1209.882712,946.7491957
20070716,,999.4040013,,,,,,1013.51682,1007.756277,,,1036.135457,,,1007.945026,869.4852646,997.3387781,,,862.9603674,942.901106,,,,,,,,1198.795664,952.6329966
20070717,,994.1380219,,,,,,1002.295384,1001.242332,,,1035.357377,,,1008.523078,874.7600767,979.833416,,,860.0550869,939.6376708,,,,,,,,1194.841398,947.2545143
20070718,,988.180634,,,,,,1007.383038,983.9300771,,,1034.890247,,,1013.839425,873.4291844,973.962948,,,860.6274152,951.7235448,,,,,,,,1202.323798,948.4051536
20070719,,988.6512144,,,,,,1029.889473,988.7381937,,,1031.940141,,,1010.725051,877.0179721,961.1480394,,,865.5615896,954.0673396,,,,,,,,1199.505477,950.9472015
20070720,,995.9829518,,,,,,1064.30465,984.4781762,,,1041.431585,,,1014.527623,875.5830152,976.077584,,,874.6307845,991.0766422,,,,,,,,1214.208052,976.7802243
20070723,,993.7048821,,,,,,1089.450767,990.6106927,,,1044.452859,,,1013.693089,874.7003465,963.5973642,,,874.1430701,1017.341319,,,,,,,,1210.592471,972.3764872
20070724,,992.753918,,,,,,1054.188523,987.5374279,,,1043.958155,,,1012.314174,864.6048137,950.2587815,,,884.2882229,993.0470651,,,,,,,,1205.185414,972.9083757
20070725,,991.6081786,,,,,,1051.919192,988.7326576,,,1050.829657,,,1015.773813,860.2520997,952.0201716,,,887.3928626,1005.971366,,,,,,,,1214.486054,975.6094811
20070726,,990.0203646,,,,,,1057.39068,989.1452316,,,1048.197273,,,1016.216321,867.2509689,954.8374489,,,887.8620131,1013.434924,,,,,,,,1223.651151,997.7403757
20070727,,988.418404,,,,,,1048.891997,976.0443247,,,1043.200347,,,1028.991209,864.8712484,947.4392343,,,883.6529295,984.5043359,,,,,,,,1223.016217,991.217506
20070730,,985.6694894,,,,,,1051.758029,977.5685649,,,1044.237758,,,1050.108829,879.2372203,961.6339149,,,900.8291026,990.3809169,,,,,,,,1259.142544,1009.535801
20070731,,973.2951254,1041.762142,,,,,1069.673236,980.4595116,,,1045.158221,,,1048.094727,885.2062644,972.3275273,,,929.1268365,1000.553386,,,,,,,,1264.229277,1010.856152
20070801,,970.7559005,1032.180958,,,,,1052.152364,971.7942856,,,1038.13788,,,1043.997477,881.4751442,968.8557238,,,926.7284541,978.683115,,,,,,,,1263.543252,991.1864
20070802,,971.0085647,1027.931938,,,,,1055.280628,970.0149174,,,1041.094355,,,1046.832969,888.9768791,969.9450488,,,945.1821519,987.6332554,,,,,,,,1266.043357,999.1788838
